Model,N,Total Bound,Random Baseline,P,Risk,Color,Crossing N
GPT-2 Small,1008.0,66.42525901494558,15.617036934287741,24510,7.381552696228027,#1f77b4,
GPT-2 Small,2000.0,49.38567982784581,15.617036934287741,24510,7.38657808303833,#1f77b4,
GPT-2 Small,3008.0,41.633238555251864,15.617036934287741,24510,7.353982925415039,#1f77b4,
GPT-2 Small,4000.0,37.117499965371145,15.617036934287741,24510,7.362049579620361,#1f77b4,
GPT-2 Small,5008.0,33.977045753362155,15.617036934287741,24510,7.364023685455322,#1f77b4,
GPT-2 Small,6000.0,31.690261856868236,15.617036934287741,24510,7.355221271514893,#1f77b4,
GPT-2 Small,7008.0,29.884620762301846,15.617036934287741,24510,7.348682880401611,#1f77b4,
GPT-2 Small,8000.0,28.459874233440097,15.617036934287741,24510,7.349539279937744,#1f77b4,
GPT-2 Small,9008.0,27.262551916464368,15.617036934287741,24510,7.353870391845703,#1f77b4,
GPT-2 Small,10000.0,26.263931589857872,15.617036934287741,24510,7.358923435211182,#1f77b4,
GPT-2 Small,10155.0,26.120918786747225,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,10313.0,25.978469092857477,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,10472.0,25.83838483410326,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,10635.0,25.698050028176674,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,10799.0,25.560073163918776,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,10967.0,25.421952427094507,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,11137.0,25.28538093938563,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,11309.0,25.150348747039093,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,11484.0,25.016086724549957,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,11662.0,24.88263521109729,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,11843.0,24.75003150616287,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,12026.0,24.619017695260155,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,12213.0,24.48819379719195,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,12402.0,24.35898876816883,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,12594.0,24.23072238726389,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,12789.0,24.10341969818105,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,12987.0,23.97710342802263,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,13188.0,23.851794100501188,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,13393.0,23.72690791408085,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,13600.0,23.603679474988386,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,13811.0,23.480931993321143,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,14025.0,23.35927951922812,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,14242.0,23.23873220928173,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,14462.0,23.11929865270881,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,14686.0,23.000461488755455,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,14914.0,22.882262229064658,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,15145.0,22.765240209498238,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,15380.0,22.648907508318935,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,15618.0,22.533776099570687,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,15860.0,22.419377137630637,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,16105.0,22.306196707925917,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,16355.0,22.19333809517278,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,16608.0,22.08172946264009,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,16866.0,21.970511282541654,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,17127.0,21.860566749500393,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,17392.0,21.751479012241095,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,17662.0,21.642867748867413,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,17935.0,21.535552883423648,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,18213.0,21.428761598747617,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,18495.0,21.322903177088314,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,18782.0,21.217625104036262,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,19072.0,21.113669565306278,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,19368.0,21.00998022566557,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,19668.0,20.907287260539444,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,19973.0,20.805263723301458,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,20282.0,20.70425797329037,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,20596.0,20.60395528428042,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,20915.0,20.504377309239814,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,21239.0,20.405543796771855,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,21568.0,20.307472681581526,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,21902.0,20.210180172806503,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,22242.0,20.11339944901487,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,22586.0,20.017712710257943,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,22936.0,19.922574832413726,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,23291.0,19.82827690066782,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,23652.0,19.734570692485942,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,24019.0,19.641480885515705,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,24391.0,19.549275196950486,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,24768.0,19.457957673279644,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,25152.0,19.367063343436698,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,25542.0,19.276854897165283,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,25937.0,19.18757179019928,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,26339.0,19.098776495705657,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,26747.0,19.01071063909965,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,27162.0,18.92317727090193,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,27582.0,18.83660838106521,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,28010.0,18.750401331550844,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,28443.0,18.665174822956914,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,28884.0,18.580351125177515,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,29331.0,18.496333085331035,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,29786.0,18.412761187070334,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,30247.0,18.330017811755756,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,30716.0,18.247757418160003,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,31192.0,18.166173565568112,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,31675.0,18.085276937554926,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,32165.0,18.005076982526077,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,32664.0,17.925265750547883,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,33170.0,17.846181034723905,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,33684.0,17.76767745880897,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,34205.0,17.68991751047279,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,34735.0,17.612616287485046,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,35273.0,17.53593698196511,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,35820.0,17.459752853261442,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,36375.0,17.38421759566389,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,36938.0,17.309339586922274,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,37510.0,17.234997650246967,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,38091.0,17.1612068492369,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,38681.0,17.08798087943062,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,39281.0,17.015212242330236,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,39889.0,16.943154609369522,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,40507.0,16.871580785037235,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,41134.0,16.80061934037145,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,41772.0,16.73005924137959,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,42419.0,16.660135737877646,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,43076.0,16.590749762880858,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,43743.0,16.52191290198502,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,44421.0,16.453535878930115,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,45109.0,16.38573224634781,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,45808.0,16.31841490638716,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,46517.0,16.251690512191896,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,47238.0,16.185383259900885,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,47970.0,16.11959955422005,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,48713.0,16.054349475669447,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,49467.0,15.98964204070198,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,50234.0,15.925319450004938,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,51012.0,15.861562110748485,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,51802.0,15.798296733128243,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,52604.0,15.73553375108996,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,53419.0,15.673206943007072,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,54247.0,15.611329851192346,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,55087.0,15.549987018970858,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,55941.0,15.4890436405436,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,56807.0,15.428652670365324,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,57687.0,15.368683783724848,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,58581.0,15.309149842382894,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,59488.0,15.25012690093955,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,60410.0,15.191495477859224,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,61346.0,15.13333101746885,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
GPT-2 Small,62296.0,15.075642155882775,15.617036934287741,24510,7.358923435211182,#1f77b4,54169.82835909641
Llama-3.1-8B,1008.0,152.90447153155858,16.968666793195208,130700,6.227074146270752,#26ba15,
